Measurement #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,,8311.5,102.8714269176155,3.057676372866812,208.7135189242232,172.3631272773219,1834.2539674441618,118,232.8251218191662,254
2,,436.75,23.581504853657716,-11.573936881825073,24.014203142255155,23.176036968114815,77.59797974644665,48,94.85689753863767,125
3,,429.75,23.391765524430518,-19.571972916079726,23.520937716388623,23.311879416300563,79.51219330881975,56,87.07097149505526,132
4,,429.0,23.371344948277684,-86.39045277270549,24.077475531908167,23.21227625462084,91.6010280736516,50,101.30710955710956,233
5,,419.0,23.09734550211416,-11.615166294414388,23.865076887674547,22.50033377165776,80.32285348059958,47,92.17780429594272,152
6,,429.75,23.391765524430518,16.051950959554137,23.547913621507686,23.298614925076294,80.51219330881975,57,89.66143106457243,169
7,,437.0,23.58825303088947,22.0369723803905,24.16145600554518,23.14184329769575,83.97970773009196,46,94.17734553775743,142
8,,443.5,23.7630330153801,29.79516234353588,24.292322197227325,23.38654030961872,83.11574669941302,56,90.58624577226607,175
9,,423.75,23.227898249336405,-14.86452448814074,23.74642123212715,22.848042505151337,81.29036790187178,41,86.73156342182891,124
10,,430.0,23.398568422792877,-10.777924180666428,23.941952599541427,23.030268959796707,82.89087296526012,48,88.78720930232558,143
11,,431.75,23.446133443265364,28.947103054188982,24.035459623869645,23.036848026060746,87.80813485483816,52,90.03184713375796,154
12,,436.25,23.568002702620237,37.495078457160524,23.995710974097445,23.26371455349643,81.75483399593904,43,87.06819484240688,162
13,,416.75,23.03524647726564,-66.54282180707412,23.277278800700586,22.8758642704311,78.25483399593904,59,83.83983203359328,128
14,,433.25,23.486826791980846,-17.177212249114213,23.87813292181496,23.161507874716268,80.6335136523794,43,83.30351990767456,135
15,,416.5,23.028336248678393,2.0291099981092593,23.683836789698343,22.52005211904831,77.89087296526012,48,87.25510204081633,127
16,,428.25,23.35090651415558,-30.959077372638905,23.855896246942454,22.998343027744756,81.01219330881975,52,91.94045534150612,138
17,,436.25,23.568002702620237,-32.25185347933653,24.29099175673246,22.95942061796175,83.51219330881975,49,84.4676217765043,191
18,,443.0,23.74963406702674,60.953611965897956,24.1618707557062,23.53801821260999,84.56549416771887,49,93.07110609480813,129
19,,425.5,23.275812043510143,30.92241565411031,23.876855483821988,22.81705154216522,83.2193000900063,51,85.94124559341951,138
20,,477.25,24.650630270337032,64.84860266853813,26.7849664142314,23.263883723024442,98.53300858899107,53,87.4311157674175,143
21,,384.25,22.118822189811244,-7.66839210584298,23.69467612376089,21.197223044254738,80.96194077712559,66,93.57514638906962,131
22,,428.25,23.35090651415558,6.676831455071864,23.608866141256936,23.23226709364406,84.01219330881976,55,88.18505545826036,129
23,,454.5,24.055921788244397,-34.06428919222505,25.489290972786204,22.943234845147074,83.99442635585339,58,91.25137513751375,228
24,,432.5,23.466488938440662,33.986529690570265,23.74327294970272,23.23504325834415,78.01219330881976,45,88.49132947976878,135
25,,427.75,23.337270947145164,8.257503191493418,23.69720809628861,23.05423149602436,76.47665940288702,50,87.13500876680304,136
